id;mapa;matricula_motorista;status;inicio;fim;criado_em;tem_divergencia;tem_avaria;total_itens;itens_conferidos;itens_avariados;duracao_minutos
138;228932;0120;completed;30/03/2026 06:59:14;30/03/2026 07:03:26;30/03/2026 06:59:14;Nao;Nao;0;0;0;4.2
137;228895;90;completed;28/03/2026 11:54:56;28/03/2026 11:57:21;28/03/2026 11:54:56;Nao;Nao;0;0;0;2.4
136;228902;0740;completed;28/03/2026 07:57:22;28/03/2026 08:06:29;28/03/2026 07:57:22;Nao;Nao;0;0;0;9.1
135;228909;38000076;completed;28/03/2026 07:47:05;28/03/2026 07:48:45;28/03/2026 07:47:05;Nao;Nao;0;0;0;1.7
134;228911;06;completed;28/03/2026 07:46:31;28/03/2026 07:48:07;28/03/2026 07:46:31;Nao;Nao;0;0;0;1.6
133;228908;3;completed;28/03/2026 07:46:17;28/03/2026 07:51:59;28/03/2026 07:46:17;Nao;Nao;0;0;0;5.7
132;228910;123;completed;28/03/2026 07:45:57;28/03/2026 07:47:35;28/03/2026 07:45:57;Nao;Nao;0;0;0;1.6
131;228901;35000038;in_progress;28/03/2026 07:45:13;;28/03/2026 07:45:13;Nao;Nao;0;0;0;
130;228903;062;completed;28/03/2026 07:44:24;28/03/2026 07:46:16;28/03/2026 07:44:24;Nao;Nao;0;0;0;1.9
129;228896;1008;in_progress;28/03/2026 07:40:05;;28/03/2026 07:40:05;Nao;Nao;0;0;0;
128;228900;0742;completed;28/03/2026 07:38:52;28/03/2026 07:44:28;28/03/2026 07:38:52;Nao;Nao;0;0;0;5.6
127;228881;0729;completed;27/03/2026 08:07:42;27/03/2026 08:08:33;27/03/2026 08:07:42;Nao;Nao;0;0;0;0.8
126;228868;123;completed;27/03/2026 08:07:20;27/03/2026 08:13:14;27/03/2026 08:07:20;Nao;Nao;0;0;0;5.9
125;228863;0740;completed;27/03/2026 08:04:06;27/03/2026 08:08:12;27/03/2026 08:04:06;Nao;Nao;0;0;0;4.1
124;228880;3;completed;27/03/2026 08:01:33;27/03/2026 08:05:36;27/03/2026 08:01:33;Nao;Nao;0;0;0;4.1
123;228864;90;completed;27/03/2026 08:00:54;27/03/2026 08:04:29;27/03/2026 08:00:54;Sim;Nao;0;0;0;3.6
122;228859;1008;completed;27/03/2026 08:00:37;27/03/2026 08:16:42;27/03/2026 08:00:37;Nao;Nao;0;0;0;16.1
121;228869;38000076;completed;27/03/2026 07:59:34;27/03/2026 08:01:17;27/03/2026 07:59:34;Nao;Nao;0;0;0;1.7
120;228857;06;completed;27/03/2026 07:56:21;27/03/2026 07:57:01;27/03/2026 07:56:21;Nao;Nao;0;0;0;0.7
119;228871;313;completed;27/03/2026 07:37:26;27/03/2026 07:39:35;27/03/2026 07:37:26;Nao;Nao;0;0;0;2.2
118;228882;584;completed;27/03/2026 07:26:16;27/03/2026 07:27:04;27/03/2026 07:26:16;Nao;Nao;0;0;0;0.8
117;228861;663;completed;27/03/2026 07:24:56;27/03/2026 07:28:28;27/03/2026 07:24:56;Nao;Nao;0;0;0;3.5
116;228876;0539;in_progress;27/03/2026 07:22:50;;27/03/2026 07:22:50;Nao;Nao;0;0;0;
115;228865;0071;completed;27/03/2026 07:22:08;27/03/2026 07:27:56;27/03/2026 07:22:08;Nao;Nao;0;0;0;5.8
114;228878;1007;completed;27/03/2026 07:21:44;27/03/2026 07:25:07;27/03/2026 07:21:44;Nao;Nao;0;0;0;3.4
113;228860;0091;completed;27/03/2026 07:20:06;27/03/2026 07:21:31;27/03/2026 07:20:06;Nao;Nao;0;0;0;1.4
112;228843;3;completed;26/03/2026 08:47:03;26/03/2026 08:52:13;26/03/2026 08:47:03;Nao;Nao;0;0;0;5.2
111;228835;729;completed;26/03/2026 08:09:56;26/03/2026 08:11:35;26/03/2026 08:09:56;Nao;Nao;0;0;0;1.7
110;228832;55;completed;26/03/2026 08:07:03;26/03/2026 08:09:52;26/03/2026 08:07:03;Nao;Nao;0;0;0;2.8
109;228820;06;completed;26/03/2026 08:06:11;26/03/2026 08:07:19;26/03/2026 08:06:11;Nao;Nao;0;0;0;1.1
108;228827;1oo8;completed;26/03/2026 07:56:39;26/03/2026 08:02:13;26/03/2026 07:56:39;Nao;Nao;0;0;0;5.6
107;228844;0740;completed;26/03/2026 07:51:36;26/03/2026 07:56:26;26/03/2026 07:51:36;Nao;Nao;0;0;0;4.8
106;228822;123;completed;26/03/2026 07:47:50;26/03/2026 08:01:29;26/03/2026 07:47:50;Nao;Nao;0;0;0;13.6
105;228829;0741;completed;26/03/2026 07:46:18;26/03/2026 08:11:37;26/03/2026 07:46:18;Sim;Nao;0;0;0;25.3
104;228836;90;completed;26/03/2026 07:46:14;26/03/2026 07:48:11;26/03/2026 07:46:14;Nao;Nao;0;0;0;2.0
103;228826;38000076;completed;26/03/2026 07:39:28;26/03/2026 07:46:39;26/03/2026 07:39:28;Nao;Nao;0;0;0;7.2
102;228824;0539;completed;26/03/2026 07:09:34;26/03/2026 07:10:43;26/03/2026 07:09:35;Nao;Nao;0;0;0;1.1
101;228830;313;completed;26/03/2026 07:04:27;26/03/2026 07:06:28;26/03/2026 07:04:27;Nao;Nao;0;0;0;2.0
100;228825;0061;completed;26/03/2026 07:03:23;26/03/2026 07:09:19;26/03/2026 07:03:23;Nao;Nao;0;0;0;5.9
99;228837;584;completed;26/03/2026 07:02:44;26/03/2026 07:11:20;26/03/2026 07:02:44;Nao;Nao;0;0;0;8.6
98;228834;1007;completed;26/03/2026 06:59:48;26/03/2026 07:12:45;26/03/2026 06:59:48;Sim;Nao;0;0;0;12.9
97;228791;062;completed;25/03/2026 07:45:52;25/03/2026 07:47:53;25/03/2026 07:45:52;Nao;Nao;0;0;0;2.0
96;228798;0740;completed;25/03/2026 07:45:09;25/03/2026 07:49:43;25/03/2026 07:45:09;Nao;Nao;0;0;0;4.6
95;228794;38000076;completed;25/03/2026 07:44:38;25/03/2026 07:46:45;25/03/2026 07:44:38;Nao;Nao;0;0;0;2.1
94;228806;0729;completed;25/03/2026 07:43:45;25/03/2026 07:50:51;25/03/2026 07:43:45;Sim;Nao;0;0;0;7.1
93;228812;3;completed;25/03/2026 07:43:23;25/03/2026 07:54:36;25/03/2026 07:43:23;Nao;Nao;0;0;0;11.2
92;228799;123;completed;25/03/2026 07:42:55;25/03/2026 07:46:23;25/03/2026 07:42:55;Nao;Nao;0;0;0;3.5
91;228803;0008;completed;25/03/2026 07:42:50;25/03/2026 07:45:45;25/03/2026 07:42:50;Nao;Nao;0;0;0;2.9
90;228802;0741;completed;25/03/2026 07:42:19;25/03/2026 07:43:54;25/03/2026 07:42:19;Nao;Nao;0;0;0;1.6
89;228795;90;completed;25/03/2026 07:41:54;25/03/2026 07:47:17;25/03/2026 07:41:54;Sim;Nao;0;0;0;5.4
88;228796;1008;completed;25/03/2026 07:41:30;25/03/2026 07:47:22;25/03/2026 07:41:30;Nao;Nao;0;0;0;5.9
87;228793;0646;completed;25/03/2026 07:40:40;25/03/2026 07:46:31;25/03/2026 07:40:40;Sim;Nao;0;0;0;5.9
86;228810;06;completed;25/03/2026 07:37:40;25/03/2026 07:39:58;25/03/2026 07:37:40;Nao;Nao;0;0;0;2.3
85;228805;0120;completed;25/03/2026 07:10:20;25/03/2026 07:11:52;25/03/2026 07:10:20;Nao;Nao;0;0;0;1.5
84;228790;313;in_progress;25/03/2026 07:08:54;;25/03/2026 07:08:54;Nao;Nao;0;0;0;
83;228757;0741;completed;24/03/2026 08:03:55;24/03/2026 08:08:07;24/03/2026 08:03:55;Nao;Nao;0;0;0;4.2
82;228765;0008;completed;24/03/2026 08:03:24;24/03/2026 08:04:58;24/03/2026 08:03:24;Nao;Nao;0;0;0;1.6
81;228761;38000076;completed;24/03/2026 08:02:54;24/03/2026 08:11:11;24/03/2026 08:02:54;Nao;Nao;0;0;0;8.3
80;228760;123;completed;24/03/2026 08:01:06;24/03/2026 08:02:37;24/03/2026 08:01:06;Nao;Nao;0;0;0;1.5
79;228766;06;completed;24/03/2026 07:56:27;24/03/2026 07:58:56;24/03/2026 07:56:27;Nao;Nao;0;0;0;2.5
78;228763;0061;completed;24/03/2026 07:20:07;24/03/2026 07:22:03;24/03/2026 07:20:07;Nao;Nao;0;0;0;1.9
77;228762;313;completed;24/03/2026 07:19:22;24/03/2026 07:21:34;24/03/2026 07:19:22;Nao;Nao;0;0;0;2.2
76;228767;584;completed;24/03/2026 07:18:56;24/03/2026 07:21:16;24/03/2026 07:18:56;Nao;Nao;0;0;0;2.3
75;228758;1007;completed;24/03/2026 07:13:05;24/03/2026 07:20:01;24/03/2026 07:13:05;Nao;Nao;0;0;0;6.9
74;228743;0646;completed;23/03/2026 07:52:47;23/03/2026 07:57:35;23/03/2026 07:52:47;Sim;Nao;0;0;0;4.8
73;228732;0740;completed;23/03/2026 07:49:01;23/03/2026 07:52:04;23/03/2026 07:49:01;Nao;Nao;0;0;0;3.1
72;228748;3;completed;23/03/2026 07:48:42;23/03/2026 07:51:55;23/03/2026 07:48:42;Nao;Nao;0;0;0;3.2
71;228738;1008;completed;23/03/2026 07:47:43;23/03/2026 07:51:36;23/03/2026 07:47:43;Nao;Nao;0;0;0;3.9
70;228747;123;completed;23/03/2026 07:47:11;23/03/2026 07:51:12;23/03/2026 07:47:11;Nao;Nao;0;0;0;4.0
69;228745;90;completed;23/03/2026 07:47:04;23/03/2026 07:58:51;23/03/2026 07:47:04;Nao;Nao;0;0;0;11.8
68;228740;38000076;completed;23/03/2026 07:46:36;23/03/2026 07:51:16;23/03/2026 07:46:36;Nao;Nao;0;0;0;4.7
